Crime,Cnum
ABANDONED AUTO,92
AGG  ASSLT BEAT/INJ P.O.,92
AGG  ASSLT BEAT/INJ SPOUSE/PARTNER,7084
AGG  ASSLT CUT/STAB OTHR DOMESTC,1564
AGG  ASSLT CUT/STAB P.O.,92
AGG  ASSLT FIREARM OTHR DOMESTIC,184
AGG  ASSLT FIREARM SPOUSE/PARTNER,713
AGG ASSLT BEAT/INJ CTZN,1633
AGG ASSLT BEAT/INJ ELDERLY,92
AGG ASSLT BEAT/INJ OTHR DOMES,1748
AGG ASSLT CUT/STAB CITIZEN,6345
AGG ASSLT CUT/STAB ELDERLY,23
AGG ASSLT CUT/STAB SPOUSE/PARTNER,3772
AGG ASSLT FIREARM CITIZEN,2804
AGG ASSLT FIREARM P.O.,92
AGG ASSLT OTHER WPN CITIZEN,4369
AGG ASSLT OTHER WPN ON ELDERLY,46
AGG ASSLT OTHER WPN OTHR DOMEST,3105
AGG ASSLT OTHER WPN P.O.,667
AGG ASSLT OTHER WPN SPOUSE/PARTNER,7773
ALARM COMM - UNKNOWN CAUSE,23
ALL OTHER NON-TRAFFIC CRIM OFFENSES,14946
ANIMAL NUISANCE/BARKING,23
ANIMAL OFFENSE - ABANDONED ANIMAL,23
ANIMAL OFFENSE - AGG ANIMAL/ATTACK,46
ANIMAL OFFENSE - AGG ANIMAL/BITE,322
ANIMAL OFFENSE - ANIMAL CRUELTY,322
ANIMAL OFFENSE - ANIMAL NEGLECT,115
ANIMAL OFFENSE - HOT CAR,69
ARSON  MOTOR VEHICLE,597
ARSON - UNOCCUPIED STRUCT/OTH,690
ARSON ATTEMPT MOTOR VEHICLE,23
ARSON ATTEMPT OCCUPIED STRUCTURE,253
ARSON ATTEMPT UNOCCUPIED STRUCTURE/OTH PROP,161
ARSON OTHER - OCCUP STRUCTURE,46
ARSON OTHER - UNOCCUP STRUCT/OTHER PROP,115
ARSON UNDER INVEST - OCCUP STRUCT,46
ARSON UNDER INVEST - UNOCCUP/OTHER,207
ARSON UNDER INVEST - VEHICLE,184
ARSON- OCCUPIED STRUCTURE,552
ASSAULT & BATTERY - CITIZEN,46609
ASSAULT & BATTERY - ELDERLY,667
ASSAULT & BATTERY - POLICE OFFICER,6463
ASSAULT & BATTERY OTHER DOMESTIC,13754
ASSAULT & BATTERY SPOUSE/PARTNER,51533
AUTO THEFT - OTHER VEHICLES,7335
AUTO THEFT - PASSENGER VEHICLE,39120
AUTO THEFT - TRUCKS & BUSES,3334
BAD CHECKS-CASH/OTHER $300+,3404
BAD CHECKS-CASH/OTHER UNDER $300,115
BAD CHECKS-LABOR/SERVICE $300+,851
BAD CHECKS-LABOR/SERVICE UNDER $300,115
BAD CHECKS-MERCHANDISE/ $300+,1288
BAD CHECKS-MERCHANDISE/UNDER $300,253
BLACKMAIL/EXTORTION,943
BOMB THREAT,897
BURG FORCE - ATTEMPT - COM/TIME UNK,1081
BURG FORCE - ATTEMPT - SCH/NIGHT,92
BURG FORCE - ATTEMPT - SCH/TIME UNK,115
BURG FORCE - ATTEMPT -COMM/DAY,207
BURG FORCE - ATTEMPT- RES/NIGHT,5198
